

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
046.385  002.963  000.237: require('telescope._extensions.file_browser.finders')
047.063  000.089  000.089: require('telescope.debounce')
047.179  000.114  000.114: require('telescope.mappings')
047.365  000.185  000.185: require('telescope.pickers.highlights')
047.507  000.141  000.141: require('telescope.pickers.window')
047.914  000.082  000.082: require('telescope.algos.linked_list')
047.916  000.408  000.326: require('telescope.entry_manager')
048.007  000.090  000.090: require('telescope.pickers.multi')
048.015  001.270  000.242: require('telescope.pickers')
048.017  001.631  000.361: require('telescope._extensions.file_browser.picker')
048.113  000.096  000.096: require('telescope._extensions.file_browser.config')
048.115  009.098  000.109: require('telescope._extensions.file_browser')
051.747  000.306  000.306: require('mason-core.functional')
051.953  000.205  000.205: require('mason-core.path')
052.280  000.326  000.326: require('mason.settings')
052.290  000.934  000.097: require('mason-core.log')
052.292  001.302  000.368: require('mason-core.EventEmitter')
052.362  000.070  000.070: require('mason-core.optional')
052.512  000.075  000.075: require('mason-core.async')
052.584  000.070  000.070: require('mason-core.async.uv')
052.587  000.223  000.078: require('mason-core.fs')
052.666  000.078  000.078: require('mason-registry.sources')
052.812  000.070  000.070: require('mason-core.functional.data')
052.886  000.073  000.073: require('mason-core.functional.function')
052.892  000.225  000.082: require('mason-core.functional.list')
052.899  002.595  000.698: require('mason-registry')
053.320  000.074  000.074: require('mason-core.functional.relation')
053.391  000.067  000.067: require('mason-core.functional.logic')
053.418  000.261  000.120: require('mason-core.platform')
053.564  000.145  000.145: require('mason-lspconfig.settings')
053.565  000.666  000.259: require('mason-lspconfig')
053.569  003.667  000.406: require('mason-tool-installer')
053.582  003.831  000.164: sourcing /Users/win/.local/share/nvim/lazy/mason-tool-installer.nvim/plugin/mason-tool-installer.lua
055.503  000.171  000.171: require('fidget.spinner.patterns')
055.504  000.262  000.091: require('fidget.spinner')
055.709  000.203  000.203: require('fidget.options')
055.728  001.221  000.755: require('fidget.progress.display')
056.145  000.176  000.176: require('fidget.logger')
057.060  000.232  000.232: require('vim.lsp.log')
057.371  000.311  000.311: require('vim.lsp.protocol')
057.967  000.286  000.286: require('vim.lsp._snippet')
058.178  000.210  000.210: require('vim.highlight')
058.192  000.820  000.324: require('vim.lsp.util')
058.201  001.631  000.268: require('vim.lsp.handlers')
058.426  000.224  000.224: require('vim.lsp.rpc')
058.524  000.098  000.098: require('vim.lsp.sync')
058.733  000.208  000.208: require('vim.lsp.semantic_tokens')
058.946  000.211  000.211: require('vim.lsp.buf')
059.046  000.099  000.099: require('vim.lsp.diagnostic')
059.233  000.186  000.186: require('vim.lsp.codelens')
059.305  003.158  000.501: require('vim.lsp')
059.310  003.581  000.248: require('fidget.progress.lsp')
060.247  000.182  000.182: require('fidget.poll')
060.250  000.550  000.368: require('fidget.notification.model')
060.500  000.249  000.249: require('fidget.notification.window')
060.795  000.295  000.295: require('fidget.notification.view')
060.809  001.306  000.212: require('fidget.notification')
060.813  001.502  000.196: require('fidget.progress.handle')
060.843  006.486  000.182: require('fidget.progress')
061.235  000.391  000.391: require('fidget.commands')
061.692  000.231  000.231: require('fidget.integration.nvim-tree')
061.938  000.245  000.245: require('fidget.integration.xcodebuild-nvim')
061.941  000.705  000.230: require('fidget.integration')
061.946  008.096  000.513: require('fidget')
064.234  000.121  000.121: require('nvim-tree.notify')
064.237  000.603  000.481: require('nvim-tree.events')
064.711  000.182  000.182: require('nvim-tree.log')
064.997  000.067  000.067: require('nvim-tree.iterators.node-iterator')
065.017  000.305  000.238: require('nvim-tree.utils')
065.085  000.067  000.067: require('nvim-tree.git.utils')
065.201  000.115  000.115: require('nvim-tree.git.runner')
065.356  000.154  000.154: require('nvim-tree.watcher')
065.460  000.103  000.103: require('nvim-tree.explorer.node')
065.463  001.077  000.150: require('nvim-tree.git')
065.532  000.069  000.069: require('nvim-tree.explorer.watch')
065.662  000.065  000.065: require('nvim-tree.explorer.node-builders')
065.835  000.172  000.172: require('nvim-tree.explorer.sorters')
066.153  000.068  000.068: require('nvim-tree.marks')
066.155  000.319  000.251: require('nvim-tree.explorer.filters')
066.405  000.179  000.179: require('nvim-tree.view')
066.407  000.252  000.072: require('nvim-tree.live-filter')
066.425  000.892  000.084: require('nvim-tree.explorer.explore')
066.506  000.080  000.080: require('nvim-tree.explorer.reload')
066.508  002.271  000.153: require('nvim-tree.explorer')
066.510  003.040  000.167: require('nvim-tree.core')
066.576  000.066  000.066: require('nvim-tree.renderer.components.padding')
066.648  000.070  000.070: require('nvim-tree.renderer.components.icons')
066.719  000.070  000.070: require('nvim-tree.renderer.components.full-name')
067.133  000.166  000.166: require('nvim-tree.enum')
067.195  000.061  000.061: require('nvim-tree.renderer.decorator')
067.197  000.299  000.071: require('nvim-tree.renderer.decorator.bookmarks')
067.256  000.058  000.058: require('nvim-tree.renderer.decorator.copied')
067.314  000.057  000.057: require('nvim-tree.renderer.decorator.cut')
067.530  000.150  000.150: require('nvim-tree.diagnostics')
067.767  000.236  000.236: require('vim.diagnostic')
067.769  000.454  000.069: require('nvim-tree.renderer.decorator.diagnostics')
067.929  000.159  000.159: require('nvim-tree.renderer.decorator.git')
068.180  000.156  000.156: require('nvim-tree.buffers')
068.182  000.252  000.096: require('nvim-tree.renderer.decorator.modified')
068.321  000.139  000.139: require('nvim-tree.renderer.decorator.opened')
068.325  001.605  000.187: require('nvim-tree.renderer.builder')
068.326  005.010  000.159: require('nvim-tree.renderer')
068.329  005.263  000.253: require('nvim-tree.lib')
068.537  000.207  000.207: require('nvim-tree.appearance')
